n,t,M,AD_M,RE_M,Jx,AD_Jx,RE_Jx,Jy,AD_Jy,RE_Jy,E_reduced,AD_E_reduced,RE_E_reduced,E_longwave_quadratic,AD_E_longwave_quadratic,RE_E_longwave_quadratic,R_lw,Z_lw,H_defect,res_w,res_v,tail_ratio,boundary_max
620,0.62,25.13274122872359,5.240252676230739e-12,2.0850302911816174e-13,-10.053096491489026,1.687538997430238e-12,1.678626081883506e-13,5.026548245745532,1.8625101461111626e-12,3.7053462039049593e-13,17.30391966973377,7.545129072639156e-07,4.3603585462956824e-08,17.303919669733776,7.545129108166293e-07,4.360358566826948e-08,4.77589419557836e-16,0.0,2.31335954426011e-13,1.556684232138174e-16,1.3387090311455556e-16,1.2974167746135891e-17,8.354781702700971e-10
640,0.64,25.13274122872376,5.410782932813163e-12,2.152882124386172e-13,-10.05309649148907,1.7319479184152442e-12,1.7228004524593877e-13,5.026548245745604,1.9344525981068728e-12,3.8484711645708157e-13,17.303919690704923,7.754840609663916e-07,4.481551634434977e-08,17.303919690704927,7.754840609663916e-07,4.4815516344349764e-08,3.214432025593774e-16,0.0,1.7112135109858136e-13,1.2027586149773142e-16,1.3604517267945426e-16,1.6411990599663107e-17,8.777512836533173e-10
660,0.66,25.13274122872392,5.5706550483591855e-12,2.2164932180154416e-13,-10.05309649148911,1.77280412572145e-12,1.7634408733891987e-13,5.026548245745677,2.007283228522283e-12,3.9933631000597077e-13,17.303919710709753,7.954888907590885e-07,4.597160300256337e-08,17.30391971070976,7.954888943118021e-07,4.5971603207876026e-08,3.245691935852037e-16,0.0,4.582862941503293e-13,1.3733982731284986e-16,1.4434310609553103e-16,2.0256666539189725e-17,9.227216755612775e-10
680,0.68,25.132741228724086,5.737632591262809e-12,2.2829314713615676e-13,-10.053096491489153,1.815436689867056e-12,1.8058482691420452e-13,5.026548245745753,2.0827783941967937e-12,4.1435559600177056e-13,17.30391972976841,8.145475476339925e-07,4.7073009971024105e-08,17.303919729768413,8.145475476339925e-07,4.70730099710241e-08,4.916552123664954e-16,0.0,4.62671908852022e-13,1.1931605087126737e-16,1.2162397593605578e-16,2.4502324737520793e-17,9.708343170082179e-10
700,0.7000000000000001,25.132741228724242,5.893951993130031e-12,2.3451289851324093e-13,-10.05309649148919,1.8527401834944612e-12,1.842954740425786e-13,5.0265482457458255,2.155609024612204e-12,4.288447895506598e-13,17.303919747904693,8.32683831220038e-07,4.8121112639263746e-08,17.303919747904693,8.326838276673243e-07,4.812111243395107e-08,4.965679994806715e-16,0.0,4.556346636343676e-13,1.303913375082881e-16,1.5068568235154972e-16,2.9203860856812065e-17,1.022377360421028e-09
720,0.72,25.13274122872442,6.071587677070056e-12,2.41580797805382e-13,-10.053096491489239,1.900701818158268e-12,1.8906630606477383e-13,5.0265482457459,2.2302160118670145e-12,4.4368737806415603e-13,17.30391976514533,8.499244685822305e-07,4.9117455574448624e-08,17.30391976514533,8.499244650295168e-07,4.911745536913595e-08,1.6719705843124625e-16,0.0,2.274846706538671e-13,1.4177176278284118e-16,1.4827672513633855e-16,3.445625348194688e-17,1.0773473699347153e-09
740,0.74,25.13274122872458,6.231459792616079e-12,2.4794190716830896e-13,-10.053096491489278,1.9397816686250735e-12,1.929536506754514e-13,5.026548245745976,2.305711177541525e-12,4.587066640599559e-13,17.303919781519227,8.662983645990607e-07,5.006370920040773e-08,17.303919781519227,8.662983610463471e-07,5.006370899509506e-08,5.067238543891347e-16,0.0,2.278173318171838e-13,1.2911024573267926e-16,1.294236396541008e-16,4.033857404203451e-17,1.1362168449448975e-09
760,0.76,25.132741228724747,6.398437335519702e-12,2.545857325029216e-13,-10.053096491489319,1.9806378759312793e-12,1.9701769276843253e-13,5.026548245746051,2.3812063432160357e-12,4.737259500557557e-13,17.303919797056956,8.818360939244485e-07,5.096164043792181e-08,17.30391979705696,8.818360939244485e-07,5.0961640437921805e-08,1.7065507974233532e-16,0.0,1.4210854715202004e-13,1.3004272489805592e-16,1.3642240813408168e-16,4.6848053268169563e-17,1.1993157456088698e-09
780,0.78,25.132741228724914,6.565414878423326e-12,2.6122955783753416e-13,-10.053096491489361,2.0232704400768853e-12,2.0125843234371717e-13,5.026548245746127,2.4567015088905464e-12,4.887452360515554e-13,17.30391981179018,8.965693183426993e-07,5.181307903344661e-08,17.30391981179018,8.965693147899856e-07,5.1813078828133935e-08,1.724382056055978e-16,0.0,2.278173318171838e-13,1.2694648103835536e-16,1.3395984990962816e-16,5.385772914987861e-17,1.2667472525621468e-09
800,0.8,25.13274122872508,6.732392421326949e-12,2.678733831721468e-13,-10.053096491489406,2.0676793610618915e-12,2.0567586940130535e-13,5.026548245746201,2.531308496145357e-12,5.035878245650517e-13,17.30391982575121,9.10530346232008e-07,5.261989210034258e-08,17.30391982575121,9.105303426792943e-07,5.261989189502991e-08,1.7425711841392385e-16,0.0,2.2914314707516465e-13,1.2945684556396264e-16,1.2655996840251317e-16,6.112159205007214e-17,1.3392278893143738e-09
